,zeitpunkt,bruttolastgang,status
436,2022-01-05T13:00,102293.51903,E
437,2022-01-05T13:15,101380.911715,E
438,2022-01-05T13:30,99929.687573,E
439,2022-01-05T13:45,98614.669692,E
440,2022-01-05T14:00,97800.866634,E
441,2022-01-05T14:15,97764.959996,E
442,2022-01-05T14:30,97491.729596,E
443,2022-01-05T14:45,96925.418838,E
444,2022-01-05T15:00,97135.504215,E
445,2022-01-05T15:15,96637.481963,E
446,2022-01-05T15:30,96280.814724,E
447,2022-01-05T15:45,95732.453251,E
448,2022-01-05T16:00,95881.73535,E
449,2022-01-05T16:15,95970.445466,E
450,2022-01-05T16:30,96473.334257,E
451,2022-01-05T16:45,96884.140256,E
452,2022-01-05T17:00,98423.592874,E
453,2022-01-05T17:15,99912.839121,E
454,2022-01-05T17:30,100834.808538,E
455,2022-01-05T17:45,101666.330019,E
456,2022-01-05T18:00,102319.589821,E
457,2022-01-05T18:15,102272.760314,E
458,2022-01-05T18:30,102162.251465,E
459,2022-01-05T18:45,101732.780648,E
460,2022-01-05T19:00,100737.28892,E
461,2022-01-05T19:15,99011.847432,E
462,2022-01-05T19:30,97721.943424,E
463,2022-01-05T19:45,96092.915684,E
464,2022-01-05T20:00,94810.540963,E
465,2022-01-05T20:15,92385.78827,E
466,2022-01-05T20:30,89994.742582,E
467,2022-01-05T20:45,87867.835726,E
468,2022-01-05T21:00,86080.831081,E
469,2022-01-05T21:15,83785.754539,E
470,2022-01-05T21:30,82186.48721,E
471,2022-01-05T21:45,79489.530441,E
472,2022-01-05T22:00,77286.042693,E
473,2022-01-05T22:15,75417.019925,E
474,2022-01-05T22:30,73644.436414,E
475,2022-01-05T22:45,71913.296783,E
476,2022-01-05T23:00,70383.647413,E
477,2022-01-05T23:15,68421.88037,E
478,2022-01-05T23:30,66837.389532,E
479,2022-01-05T23:45,65182.830555,E
480,2022-01-06T00:00,63972.399395,E
481,2022-01-06T00:15,67398.453429,E
482,2022-01-06T00:30,66432.547474,E
483,2022-01-06T00:45,65078.365644,E
484,2022-01-06T01:00,63299.440065,E
485,2022-01-06T01:15,61440.576794,E
486,2022-01-06T01:30,60331.792231,E
487,2022-01-06T01:45,59371.30264,E
488,2022-01-06T02:00,58938.038768,E
489,2022-01-06T02:15,61329.850441,E
490,2022-01-06T02:30,61120.737918,E
491,2022-01-06T02:45,60081.215452,E
492,2022-01-06T03:00,58978.681241,E
493,2022-01-06T03:15,58482.845611,E
494,2022-01-06T03:30,57776.107303,E
495,2022-01-06T03:45,57355.115048,E
496,2022-01-06T04:00,57168.454658,E
497,2022-01-06T04:15,57442.487486,E
498,2022-01-06T04:30,57433.419597,E
499,2022-01-06T04:45,57838.482851,E
500,2022-01-06T05:00,58526.619327,E
501,2022-01-06T05:15,60874.726644,E
502,2022-01-06T05:30,62524.861953,E
503,2022-01-06T05:45,64346.850322,E
504,2022-01-06T06:00,67087.083518,E
505,2022-01-06T06:15,70900.001474,E
506,2022-01-06T06:30,73387.704225,E
507,2022-01-06T06:45,76468.638618,E
508,2022-01-06T07:00,79154.351499,E
509,2022-01-06T07:15,83667.079746,E
510,2022-01-06T07:30,86712.609619,E
511,2022-01-06T07:45,89325.8668,E
512,2022-01-06T08:00,91721.152793,E
513,2022-01-06T08:15,93772.146641,E
514,2022-01-06T08:30,94525.346492,E
515,2022-01-06T08:45,96319.847195,E
516,2022-01-06T09:00,97238.231629,E
517,2022-01-06T09:15,98498.438706,E
518,2022-01-06T09:30,99224.597452,E
519,2022-01-06T09:45,99751.598767,E
520,2022-01-06T10:00,101087.979193,E
521,2022-01-06T10:15,101909.061122,E
522,2022-01-06T10:30,102024.529824,E
523,2022-01-06T10:45,102429.883507,E
524,2022-01-06T11:00,102843.284429,E
525,2022-01-06T11:15,102784.668532,E
526,2022-01-06T11:30,103464.519884,E
527,2022-01-06T11:45,104771.735958,E
528,2022-01-06T12:00,106238.757714,E
529,2022-01-06T12:15,106908.189289,E
530,2022-01-06T12:30,105554.848806,E
531,2022-01-06T12:45,103966.924707,E
532,2022-01-06T13:00,103301.833904,E
533,2022-01-06T13:15,103122.16287,E
534,2022-01-06T13:30,102936.453547,E
535,2022-01-06T13:45,101880.223885,E
536,2022-01-06T14:00,101519.200531,E
537,2022-01-06T14:15,100784.495983,E
538,2022-01-06T14:30,99817.484373,E
539,2022-01-06T14:45,98715.969313,E
540,2022-01-06T15:00,99024.685065,E
541,2022-01-06T15:15,98794.439547,E
542,2022-01-06T15:30,98568.947004,E
543,2022-01-06T15:45,98378.716807,E
544,2022-01-06T16:00,98522.83772,E
545,2022-01-06T16:15,98444.012856,E
546,2022-01-06T16:30,98637.381659,E
547,2022-01-06T16:45,99228.309629,E
548,2022-01-06T17:00,100157.068398,E
549,2022-01-06T17:15,101547.26993,E
550,2022-01-06T17:30,101567.281942,E
551,2022-01-06T17:45,102135.601681,E
552,2022-01-06T18:00,102989.928406,E
553,2022-01-06T18:15,102643.687635,E
554,2022-01-06T18:30,102563.50476,E
555,2022-01-06T18:45,101457.598548,E
556,2022-01-06T19:00,100629.490479,E
557,2022-01-06T19:15,98790.137194,E
558,2022-01-06T19:30,97373.46802,E
559,2022-01-06T19:45,95708.364119,E
560,2022-01-06T20:00,94130.376512,E
561,2022-01-06T20:15,91747.438687,E
562,2022-01-06T20:30,89753.190419,E
563,2022-01-06T20:45,87530.571325,E
564,2022-01-06T21:00,86147.133955,E
565,2022-01-06T21:15,83716.2164,E
566,2022-01-06T21:30,81920.319009,E
567,2022-01-06T21:45,80122.974604,E
568,2022-01-06T22:00,78301.980206,E
569,2022-01-06T22:15,76242.055599,E
570,2022-01-06T22:30,74718.582903,E
571,2022-01-06T22:45,72734.66333,E
572,2022-01-06T23:00,71659.065389,E
573,2022-01-06T23:15,69649.613228,E
574,2022-01-06T23:30,68302.1196,E
575,2022-01-06T23:45,66742.104201,E
576,2022-01-07T00:00,65394.158825,E
577,2022-01-07T00:15,68818.088798,E
578,2022-01-07T00:30,68262.073381,E
579,2022-01-07T00:45,66258.599856,E
580,2022-01-07T01:00,64286.675792,E
581,2022-01-07T01:15,62396.37992,E
582,2022-01-07T01:30,61272.001106,E
583,2022-01-07T01:45,60438.304195,E
584,2022-01-07T02:00,59586.946331,E
585,2022-01-07T02:15,61863.262207,E
586,2022-01-07T02:30,61336.079991,E
587,2022-01-07T02:45,60434.609312,E
588,2022-01-07T03:00,59386.186002,E
589,2022-01-07T03:15,59071.70399,E
590,2022-01-07T03:30,58564.496519,E
591,2022-01-07T03:45,58392.426129,E
592,2022-01-07T04:00,57983.659088,E
593,2022-01-07T04:15,57956.989198,E
594,2022-01-07T04:30,57832.666675,E
595,2022-01-07T04:45,58192.028757,E
596,2022-01-07T05:00,58963.574558,E
597,2022-01-07T05:15,61121.539761,E
598,2022-01-07T05:30,62782.397579,E
599,2022-01-07T05:45,64273.611935,E
600,2022-01-07T06:00,66738.290706,E
601,2022-01-07T06:15,70929.074051,E
602,2022-01-07T06:30,73865.914561,E
603,2022-01-07T06:45,76794.532557,E
604,2022-01-07T07:00,79689.276463,E
605,2022-01-07T07:15,84101.029161,E
606,2022-01-07T07:30,86731.88889,E
607,2022-01-07T07:45,89283.554379,E
608,2022-01-07T08:00,92082.267141,E
609,2022-01-07T08:15,93529.003112,E
610,2022-01-07T08:30,94316.579625,E
611,2022-01-07T08:45,95949.053178,E
612,2022-01-07T09:00,97192.958061,E
613,2022-01-07T09:15,97427.254482,E
614,2022-01-07T09:30,97646.780396,E
615,2022-01-07T09:45,98486.017177,E
616,2022-01-07T10:00,99108.976082,E
617,2022-01-07T10:15,100165.4143,E
618,2022-01-07T10:30,100349.84249,E
619,2022-01-07T10:45,100219.613581,E
620,2022-01-07T11:00,100642.532716,E
621,2022-01-07T11:15,100251.383406,E
622,2022-01-07T11:30,101326.076264,E
623,2022-01-07T11:45,102503.771098,E
624,2022-01-07T12:00,103570.121265,E
625,2022-01-07T12:15,103776.785843,E
626,2022-01-07T12:30,102899.116235,E
627,2022-01-07T12:45,102138.178732,E
628,2022-01-07T13:00,101466.403916,E
629,2022-01-07T13:15,101481.022664,E
630,2022-01-07T13:30,101158.006249,E
631,2022-01-07T13:45,100606.59352,E
632,2022-01-07T14:00,100137.025732,E
633,2022-01-07T14:15,100225.742051,E
634,2022-01-07T14:30,100469.596808,E
635,2022-01-07T14:45,100506.048911,E
636,2022-01-07T15:00,101135.810933,E
637,2022-01-07T15:15,100745.063812,E
638,2022-01-07T15:30,99618.102607,E
639,2022-01-07T15:45,98982.220862,E
640,2022-01-07T16:00,99432.217041,E
641,2022-01-07T16:15,98901.01888,E
642,2022-01-07T16:30,98689.33434,E
643,2022-01-07T16:45,98983.14415,E
644,2022-01-07T17:00,99964.490489,E
645,2022-01-07T17:15,100649.471995,E
646,2022-01-07T17:30,101198.036761,E
647,2022-01-07T17:45,101490.241756,E
648,2022-01-07T18:00,101974.655815,E
649,2022-01-07T18:15,102048.392487,E
650,2022-01-07T18:30,101938.346998,E
651,2022-01-07T18:45,100788.141304,E
652,2022-01-07T19:00,99836.230531,E
653,2022-01-07T19:15,98123.964337,E
654,2022-01-07T19:30,96736.656646,E
655,2022-01-07T19:45,95185.134596,E
656,2022-01-07T20:00,93901.610284,E
657,2022-01-07T20:15,91005.906785,E
658,2022-01-07T20:30,88893.678329,E
659,2022-01-07T20:45,87009.080977,E
660,2022-01-07T21:00,84855.986637,E
